t,s
4.900000,473.404
4.910000,330.850
4.920000,600.946
4.930000,677.502
4.940000,136.154
4.950000,-117.502
4.960000,-46.261
4.970000,-109.485
4.980000,52.356
4.990000,562.060
5.000000,1011.899
5.010000,1152.279
5.020000,951.389
5.030000,158.535
5.040000,-478.615
5.050000,-288.914
5.060000,453.938
5.070000,863.167
5.080000,507.222
5.090000,330.297
5.100000,555.553
5.110000,300.308
5.120000,-331.096
5.130000,-365.294
5.140000,269.123
5.150000,613.887
5.160000,554.767
5.170000,559.695
5.180000,610.938
5.190000,531.304
5.200000,320.676
5.210000,18.664
5.220000,-125.111
5.230000,-66.292
5.240000,231.865
5.250000,633.383
5.260000,650.796
5.270000,54.857
5.280000,-437.742
5.290000,-154.552
5.300000,427.071
5.310000,639.046
5.320000,589.706
5.330000,552.955
5.340000,538.888
5.350000,497.920
5.360000,151.459
5.370000,-281.419
5.380000,-259.700
5.390000,19.657
5.400000,3.929
5.410000,-111.753
5.420000,31.456
5.430000,377.633
5.440000,423.601
5.450000,194.856
5.460000,54.707
5.470000,193.691
5.480000,471.442
5.490000,518.012
5.500000,423.814
5.510000,391.898
5.520000,305.909
5.530000,305.308
5.540000,307.970
5.550000,245.434
5.560000,228.526
5.570000,286.747
5.580000,441.137
5.590000,561.120
5.600000,426.086
5.610000,283.918
5.620000,216.648
5.630000,305.665
5.640000,488.342
5.650000,576.203
5.660000,468.803
5.670000,352.949
5.680000,413.902
5.690000,488.649
5.700000,358.242
5.710000,0.707
5.720000,-247.229
5.730000,-324.949
5.740000,-347.615
5.750000,-23.886
5.760000,624.765
5.770000,1143.919
5.780000,1293.771
5.790000,798.471
5.800000,-148.186
5.810000,-658.928
5.820000,-716.584
5.830000,-616.996
5.840000,-225.364
5.850000,265.249
5.860000,507.844
5.870000,663.741
5.880000,1047.975
5.890000,1189.852
5.900000,864.624
5.910000,413.608
5.920000,311.354
5.930000,492.431
5.940000,634.863
5.950000,751.741
5.960000,772.824
5.970000,441.743
5.980000,-132.800
5.990000,-613.536
6.000000,-754.671
6.010000,-522.303
6.020000,0.517
6.030000,508.952
6.040000,628.831
6.050000,210.174
6.060000,-219.738
6.070000,-229.087
6.080000,65.360
6.090000,341.918
6.100000,561.894
6.110000,698.302
6.120000,611.810
6.130000,302.368
6.140000,132.578
6.150000,273.346
6.160000,217.095
6.170000,-201.911
6.180000,-289.514
6.190000,242.692
6.200000,714.623
6.210000,423.079
6.220000,-374.229
6.230000,-775.338
6.240000,-595.618
6.250000,-375.766
6.260000,-251.806
6.270000,177.976
6.280000,797.142
6.290000,944.696
6.300000,524.440
6.310000,259.815
6.320000,377.920
6.330000,482.092
6.340000,188.091
6.350000,-147.527
6.360000,-126.506
6.370000,99.470
6.380000,229.535
6.390000,193.615
6.400000,-48.119
6.410000,-376.431
6.420000,-741.350
6.430000,-925.165
6.440000,-913.112
6.450000,-714.744
6.460000,-244.514
6.470000,244.666
6.480000,439.058
6.490000,412.385
6.500000,101.599
6.510000,-332.435
6.520000,-668.840
6.530000,-756.394
6.540000,-741.579
6.550000,-782.829
6.560000,-714.608
6.570000,-349.672
6.580000,124.837
6.590000,544.817
6.600000,801.957
6.610000,811.209
6.620000,551.803
6.630000,4.942
6.640000,-661.705
6.650000,-1186.638
6.660000,-1288.360
6.670000,-1056.061
6.680000,-733.788
6.690000,-384.676
6.700000,-41.510
6.710000,171.463
6.720000,249.152
6.730000,255.888
6.740000,182.345
6.750000,-93.815
6.760000,-611.648
6.770000,-1149.218
6.780000,-1389.522
6.790000,-1228.268
6.800000,-891.038
6.810000,-711.891
6.820000,-669.706
6.830000,-638.029
6.840000,-430.243
6.850000,15.602
6.860000,633.162
6.870000,1132.606
6.880000,1286.991
6.890000,1089.950
6.900000,753.474
6.910000,325.346
6.920000,-89.395
6.930000,-326.554
6.940000,-381.723
6.950000,-338.707
6.960000,-166.345
6.970000,60.890
6.980000,187.708
6.990000,34.050
7.000000,-195.602
7.010000,-382.192
7.020000,-412.356
7.030000,-479.931
7.040000,-648.207
7.050000,-800.201
7.060000,-784.971
7.070000,-550.730
7.080000,-142.571
7.090000,376.276
7.100000,865.736
7.110000,1097.342
7.120000,969.525
7.130000,564.041
7.140000,108.233
7.150000,-250.227
7.160000,-565.068
7.170000,-892.230
7.180000,-1099.199
7.190000,-1122.957
7.200000,-914.898
7.210000,-551.277
7.220000,-240.579
7.230000,-113.495
7.240000,-119.608
7.250000,-255.421
7.260000,-376.842
7.270000,-410.974
7.280000,-462.459
7.290000,-575.436
7.300000,-733.337
7.310000,-724.954
7.320000,-492.190
7.330000,-146.548
7.340000,44.671
7.350000,45.285
7.360000,6.582
7.370000,-18.543
7.380000,-156.626
7.390000,-213.282
7.400000,-195.362
7.410000,-107.490
7.420000,-37.288
7.430000,-115.433
7.440000,-326.463
7.450000,-477.018
7.460000,-522.217
7.470000,-533.432
7.480000,-543.378
7.490000,-509.830
7.500000,-440.565
7.510000,-410.333
7.520000,-432.059
7.530000,-549.987
7.540000,-792.626
7.550000,-1040.874
7.560000,-1174.931
7.570000,-1116.625
7.580000,-932.897
7.590000,-675.078
7.600000,-417.505
7.610000,-289.843
7.620000,-282.139
7.630000,-288.464
7.640000,-272.533
7.650000,-256.040
7.660000,-182.929
7.670000,-81.597
7.680000,44.769
7.690000,123.390
7.700000,166.919
7.710000,231.034
7.720000,345.719
7.730000,394.368
7.740000,400.691
7.750000,355.606
7.760000,242.669
7.770000,123.676
7.780000,146.028
7.790000,290.741
7.800000,514.241
7.810000,639.511
7.820000,638.438
7.830000,554.399
7.840000,463.682
7.850000,265.794
7.860000,77.288
7.870000,-88.045
7.880000,-218.366
7.890000,-244.997
7.900000,-237.353
7.910000,-338.197
7.920000,-554.645
7.930000,-811.187
7.940000,-966.517
7.950000,-1035.790
7.960000,-1093.881
7.970000,-1171.782
7.980000,-1242.607
7.990000,-1379.333
8.000000,-1492.482
8.010000,-1515.813
8.020000,-1447.973
8.030000,-1291.108
8.040000,-1080.111
8.050000,-876.929
8.060000,-606.677
8.070000,-313.773
8.080000,-67.696
8.090000,82.212
8.100000,183.989
8.110000,275.103
8.120000,335.925
8.130000,326.758
8.140000,224.200
8.150000,105.919
8.160000,41.271
8.170000,61.898
8.180000,179.116
8.190000,345.001
8.200000,513.656
8.210000,597.110
8.220000,625.586
8.230000,623.918
8.240000,530.185
8.250000,440.901
8.260000,269.345
8.270000,96.518
8.280000,-8.739
8.290000,-38.350
8.300000,0.390
8.310000,72.781
8.320000,115.381
8.330000,154.564
8.340000,151.307
8.350000,166.272
8.360000,126.244
8.370000,43.330
8.380000,-38.697
8.390000,-96.511
8.400000,-117.030
8.410000,-118.873
8.420000,-159.269
8.430000,-128.285
8.440000,-53.084
8.450000,22.535
8.460000,44.752
8.470000,94.174
8.480000,90.311
8.490000,93.257
8.500000,89.345
8.510000,50.215
8.520000,-10.750
8.530000,-28.042
8.540000,-5.520
8.550000,61.544
8.560000,138.907
8.570000,191.181
8.580000,236.608
8.590000,267.864
8.600000,272.687
8.610000,216.578
8.620000,108.455
8.630000,-2.100
8.640000,-122.477
8.650000,-212.809
8.660000,-268.000
8.670000,-308.617
8.680000,-325.254
8.690000,-364.912
8.700000,-454.816
8.710000,-552.401
8.720000,-592.235
8.730000,-609.374
8.740000,-639.704
8.750000,-676.168
8.760000,-665.960
8.770000,-621.619
8.780000,-534.767
8.790000,-440.470
8.800000,-330.387
8.810000,-212.236
8.820000,-57.636
8.830000,100.782
8.840000,235.722
8.850000,332.145
8.860000,405.713
8.870000,432.069
8.880000,488.653
8.890000,551.488
8.900000,589.777
8.910000,629.809
8.920000,701.736
8.930000,744.607
8.940000,816.225
8.950000,803.011
8.960000,732.193
8.970000,607.619
8.980000,503.372
8.990000,334.866
9.000000,156.690
9.010000,57.072
9.020000,33.157
9.030000,29.557
9.040000,24.808
9.050000,4.032
9.060000,-18.576
9.070000,-77.364
9.080000,-146.178
9.090000,-218.915
9.100000,-248.933
9.110000,-272.455
9.120000,-319.771
9.130000,-335.363
9.140000,-354.456
9.150000,-319.389
9.160000,-227.469
9.170000,-117.233
9.180000,0.289
9.190000,149.893
9.200000,248.022
9.210000,316.407
9.220000,301.414
9.230000,259.833
9.240000,211.233
9.250000,198.211
9.260000,224.409
9.270000,294.251
9.280000,395.271
9.290000,487.471
9.300000,527.839
9.310000,551.578
9.320000,502.258
9.330000,450.092
9.340000,373.174
9.350000,308.688
9.360000,214.118
9.370000,110.518
9.380000,36.766
9.390000,0.982
9.400000,-53.835
9.410000,-61.594
9.420000,-64.569
9.430000,-35.982
9.440000,25.089
9.450000,85.113
9.460000,126.370
9.470000,169.862
9.480000,152.386
9.490000,151.422
9.500000,128.997
9.510000,95.555
9.520000,100.585
9.530000,79.858
9.540000,58.491
9.550000,54.890
9.560000,79.420
9.570000,112.954
9.580000,163.219
9.590000,210.001
9.600000,234.577
9.610000,265.118
9.620000,302.809
9.630000,305.073
9.640000,291.011
9.650000,265.288
9.660000,238.335
9.670000,227.387
9.680000,214.157
9.690000,162.295
9.700000,110.907
9.710000,72.463
9.720000,74.205
9.730000,66.733
9.740000,62.705
9.750000,82.242
9.760000,91.757
9.770000,78.631
9.780000,68.336
9.790000,45.680
9.800000,14.075
9.810000,-45.856
9.820000,-62.119
9.830000,-92.600
9.840000,-77.067
9.850000,-75.777
9.860000,-29.314
9.870000,6.589
9.880000,57.681
9.890000,67.413
9.900000,75.561
9.910000,84.748
9.920000,97.504
9.930000,122.898
9.940000,160.710
9.950000,168.846
9.960000,176.130
9.970000,180.058
9.980000,175.376
9.990000,150.957
10.000000,174.026
10.010000,143.776
10.020000,126.771
10.030000,126.904
10.040000,100.287
10.050000,79.406
10.060000,41.791
10.070000,-5.326
10.080000,-66.050
10.090000,-115.666
10.100000,-146.087
10.110000,-140.756
10.120000,-119.168
10.130000,-86.753
10.140000,-30.535
10.150000,34.780
10.160000,63.294
10.170000,114.303
10.180000,157.585
10.190000,197.948
10.200000,235.241
10.210000,277.766
10.220000,288.815
10.230000,329.986
10.240000,305.240
10.250000,307.404
10.260000,310.119
10.270000,326.164
10.280000,336.892
10.290000,331.300
10.300000,358.076
10.310000,359.269
10.320000,347.094
10.330000,360.956
10.340000,350.752
10.350000,368.530
10.360000,369.954
10.370000,423.012
10.380000,430.638
10.390000,379.646
10.400000,318.578
10.410000,251.791
10.420000,167.628
10.430000,92.887
10.440000,16.151
10.450000,-23.525
10.460000,-56.129
10.470000,-61.149
10.480000,-35.693
10.490000,-19.437
10.500000,-34.731
10.510000,-26.451
10.520000,-52.116
10.530000,-75.681
10.540000,-112.088
10.550000,-148.380
10.560000,-147.235
10.570000,-146.554
10.580000,-145.326
10.590000,-82.639
10.600000,-22.097
10.610000,-0.853
10.620000,26.370
10.630000,63.101
10.640000,85.451
10.650000,111.089
